Run,age_group,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain
SRR12212403,old,RNA-Seq,101,193168964,PRJNA645959,SAMN15520632,69429342,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",germinal vesicle (GV),SRX8723007,GSM4669697,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-20T00:00:00Z,2020-07-13T17:12:00Z,1,GSM4669697,germinal vesicle (GV) oocyte,SRP271667,C57BL/6Babr
SRR12212404,old,RNA-Seq,101,337407569,PRJNA645959,SAMN15520631,118056887,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",germinal vesicle (GV),SRX8723008,GSM4669698,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-20T00:00:00Z,2020-07-13T17:12:00Z,1,GSM4669698,germinal vesicle (GV) oocyte,SRP271667,C57BL/6Babr
SRR12212405,old,RNA-Seq,101,232059115,PRJNA645959,SAMN15520630,83386889,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",germinal vesicle (GV),SRX8723009,GSM4669699,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-20T00:00:00Z,2020-07-13T17:12:00Z,1,GSM4669699,germinal vesicle (GV) oocyte,SRP271667,C57BL/6Babr
SRR12212406,old,RNA-Seq,101,235650675,PRJNA645959,SAMN15520629,83469158,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",germinal vesicle (GV),SRX8723010,GSM4669700,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-20T00:00:00Z,2020-07-13T17:14:00Z,1,GSM4669700,germinal vesicle (GV) oocyte,SRP271667,C57BL/6Babr
SRR12212407,old,RNA-Seq,101,318263221,PRJNA645959,SAMN15520628,113683930,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",germinal vesicle (GV),SRX8723011,GSM4669701,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-20T00:00:00Z,2020-07-13T17:13:00Z,1,GSM4669701,germinal vesicle (GV) oocyte,SRP271667,C57BL/6Babr
SRR12212408,old,RNA-Seq,101,304290780,PRJNA645959,SAMN15520627,107509679,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",germinal vesicle (GV),SRX8723012,GSM4669702,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-20T00:00:00Z,2020-07-13T17:13:00Z,1,GSM4669702,germinal vesicle (GV) oocyte,SRP271667,C57BL/6Babr
SRR12212409,old,RNA-Seq,101,337435344,PRJNA645959,SAMN15520626,120823021,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",germinal vesicle (GV),SRX8723013,GSM4669703,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-20T00:00:00Z,2020-07-13T17:13:00Z,1,GSM4669703,germinal vesicle (GV) oocyte,SRP271667,C57BL/6Babr
SRR12212410,old,RNA-Seq,101,283484275,PRJNA645959,SAMN15520625,100819113,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",germinal vesicle (GV),SRX8723014,GSM4669704,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-20T00:00:00Z,2020-07-13T17:13:00Z,1,GSM4669704,germinal vesicle (GV) oocyte,SRP271667,C57BL/6Babr
SRR12212411,old,RNA-Seq,101,315992034,PRJNA645959,SAMN15520624,113737938,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",germinal vesicle (GV),SRX8723015,GSM4669705,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-20T00:00:00Z,2020-07-13T17:13:00Z,1,GSM4669705,germinal vesicle (GV) oocyte,SRP271667,C57BL/6Babr
SRR12212412,old,RNA-Seq,101,282984527,PRJNA645959,SAMN15520623,100894515,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",germinal vesicle (GV),SRX8723016,GSM4669706,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-20T00:00:00Z,2020-07-13T17:13:00Z,1,GSM4669706,germinal vesicle (GV) oocyte,SRP271667,C57BL/6Babr
SRR12212413,old,RNA-Seq,101,511432488,PRJNA645959,SAMN15520648,181376695,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",germinal vesicle (GV),SRX8723017,GSM4669707,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-20T00:00:00Z,2020-07-13T17:13:00Z,1,GSM4669707,germinal vesicle (GV) oocyte,SRP271667,C57BL/6Babr
