gsm_id,ogv_id
GSM4669697,oGV_10A
GSM4669698,oGV_10
GSM4669699,oGV_11A
GSM4669700,oGV_11
GSM4669701,oGV_12A
GSM4669702,oGV_12
GSM4669703,oGV_13A
GSM4669704,oGV_13
GSM4669705,oGV_14A
GSM4669706,oGV_14
GSM4669707,oGV_15A
GSM4669708,oGV_15
GSM4669709,oGV_16A
GSM4669710,oGV_16
GSM4669711,oGV_25A
GSM4669712,oGV_25
GSM4669713,oGV_26A
GSM4669714,oGV_26
GSM4669715,oGV_27A
GSM4669716,oGV_27
GSM4669717,oGV_28A
GSM4669718,oGV_28
GSM4669719,oGV_29A
GSM4669720,oGV_29
GSM4669721,oGV_30A
GSM4669722,oGV_30
GSM4669723,oGV_31A
GSM4669724,oGV_31
GSM4669725,oGV_41A
GSM4669726,oGV_41
GSM4669727,oGV_42A
GSM4669728,oGV_42
GSM4669729,oGV_43A
GSM4669730,oGV_43
GSM4669731,oGV_44A
GSM4669732,oGV_44
GSM4669733,oGV_45A
GSM4669734,oGV_45
GSM4669735,oGV_46A
GSM4669736,oGV_46
GSM4669737,oGV_47A
GSM4669738,oGV_47
GSM4669739,oGV_48A
GSM4669740,oGV_48
GSM4669741,oGV_9A
GSM4669742,oGV_9
GSM4669743,yGV_17A
GSM4669744,yGV_17
GSM4669745,yGV_18A
GSM4669746,yGV_18
GSM4669747,yGV_19A
GSM4669748,yGV_19
GSM4669749,yGV_1A
GSM4669750,yGV_1
GSM4669751,yGV_20A
GSM4669752,yGV_20
GSM4669753,yGV_21A
GSM4669754,yGV_21
GSM4669755,yGV_22A
GSM4669756,yGV_22
GSM4669757,yGV_23
GSM4669758,yGV_24A
GSM4669759,yGV_24
GSM4669760,yGV_2A
GSM4669761,yGV_2
GSM4669762,yGV_33A
GSM4669763,yGV_33
GSM4669764,yGV_34A
GSM4669765,yGV_34
GSM4669766,yGV_35A
GSM4669767,yGV_35
GSM4669768,yGV_36A
GSM4669769,yGV_37A
GSM4669770,yGV_37
GSM4669771,yGV_38A
GSM4669772,yGV_38
GSM4669773,yGV_39A
GSM4669774,yGV_39
GSM4669775,yGV_3A
GSM4669776,yGV_3
GSM4669777,yGV_4A
GSM4669778,yGV_4
GSM4669779,yGV_5A
GSM4669780,yGV_5
GSM4669781,yGV_6A
GSM4669782,yGV_6
GSM4669783,yGV_7A
GSM4669784,yGV_7
