bam_path	sample_id	age_group
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212403.Aligned.sortedByCoord.out.bam	SRR12212403	old
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212404.Aligned.sortedByCoord.out.bam	SRR12212404	old
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212405.Aligned.sortedByCoord.out.bam	SRR12212405	old
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212406.Aligned.sortedByCoord.out.bam	SRR12212406	old
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212407.Aligned.sortedByCoord.out.bam	SRR12212407	old
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212408.Aligned.sortedByCoord.out.bam	SRR12212408	old
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212409.Aligned.sortedByCoord.out.bam	SRR12212409	old
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212410.Aligned.sortedByCoord.out.bam	SRR12212410	old
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212411.Aligned.sortedByCoord.out.bam	SRR12212411	old
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212412.Aligned.sortedByCoord.out.bam	SRR12212412	old
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212413.Aligned.sortedByCoord.out.bam	SRR12212413	old
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212414.Aligned.sortedByCoord.out.bam	SRR12212414	old
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212415.Aligned.sortedByCoord.out.bam	SRR12212415	old
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212416.Aligned.sortedByCoord.out.bam	SRR12212416	old
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212417.Aligned.sortedByCoord.out.bam	SRR12212417	old
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212418.Aligned.sortedByCoord.out.bam	SRR12212418	old
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212419.Aligned.sortedByCoord.out.bam	SRR12212419	old
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212420.Aligned.sortedByCoord.out.bam	SRR12212420	old
