sample	age_group	input_reads	avg_read_length	unique_reads	unique_pct	splices_total	splices_annotated	mismatch_pct	multi_reads	multi_pct	too_many_loci_reads	too_many_loci_pct	unmapped_too_short_reads	unmapped_too_short_pct	unmapped_other_reads	unmapped_other_pct
SRR12212403	old	1885174	101	1524787	80.88%	588559	568918	0.20%	181753	9.64%	101792	5.40%	20078	1.07%	56764	3.01%
SRR12212404	old	3299500	101	2611229	79.14%	1051005	1010571	0.18%	330682	10.02%	194335	5.89%	44768	1.36%	118486	3.59%
SRR12212405	old	2267266	101	1875157	82.71%	732678	712535	0.20%	205620	9.07%	102607	4.53%	26214	1.16%	57668	2.54%
SRR12212406	old	2298889	101	1834960	79.82%	724874	698116	0.19%	221001	9.61%	134356	5.84%	29926	1.30%	78646	3.42%
SRR12212407	old	3109868	101	2551492	82.05%	994060	969641	0.19%	286588	9.22%	152590	4.91%	33949	1.09%	85249	2.74%
SRR12212408	old	2966878	101	2429673	81.89%	935395	899022	0.18%	268159	9.04%	144792	4.88%	40837	1.38%	83417	2.81%
SRR12212409	old	3299710	101	2742577	83.12%	1062131	1037301	0.20%	297928	9.03%	143090	4.34%	35176	1.07%	80939	2.45%
SRR12212410	old	2769522	101	2236039	80.74%	859258	833278	0.19%	262013	9.46%	150236	5.42%	37078	1.34%	84156	3.04%
SRR12212411	old	3088526	101	2498641	80.90%	973153	949449	0.20%	298070	9.65%	165567	5.36%	33067	1.07%	93181	3.02%
SRR12212412	old	2759853	101	2244866	81.34%	880019	850372	0.20%	256037	9.28%	142887	5.18%	34538	1.25%	81525	2.95%
SRR12212413	old	4997928	101	4087368	81.78%	1615340	1567414	0.19%	487151	9.75%	240235	4.81%	47753	0.96%	135421	2.71%
SRR12212414	old	1440202	101	1198454	83.21%	452572	438976	0.19%	128207	8.90%	61613	4.28%	17549	1.22%	34379	2.39%
SRR12212415	old	3596597	101	2933962	81.58%	1135075	1106261	0.19%	348766	9.70%	176356	4.90%	37101	1.03%	100412	2.79%
SRR12212416	old	1448379	101	1141789	78.83%	450673	437126	0.18%	149256	10.31%	89306	6.17%	16048	1.11%	51980	3.59%
SRR12212417	old	2348654	101	1839300	78.31%	746314	713827	0.20%	240103	10.22%	151172	6.44%	27258	1.16%	90821	3.87%
SRR12212418	old	3823278	101	2893949	75.69%	1113386	1056081	0.21%	415627	10.87%	291897	7.63%	56960	1.49%	164845	4.31%
SRR12212419	old	3097263	101	2416594	78.02%	947768	910372	0.18%	324873	10.49%	194736	6.29%	41410	1.34%	119650	3.86%
SRR12212420	old	4603348	101	3583344	77.84%	1416598	1349968	0.19%	471299	10.24%	302932	6.58%	76204	1.66%	169569	3.68%
SRR12212421	old	3323593	101	2758485	83.00%	1067436	1035516	0.18%	300230	9.03%	140496	4.23%	42762	1.29%	81620	2.46%
SRR12212422	old	4147484	100	3661960	88.29%	1466850	1401199	0.18%	319546	7.70%	65732	1.58%	66101	1.59%	34145	0.82%
SRR12212423	old	3085956	101	2502451	81.09%	952710	920483	0.18%	294971	9.56%	156500	5.07%	40860	1.32%	91174	2.95%
SRR12212424	old	5826183	101	4938747	84.77%	1917491	1834391	0.24%	506222	8.69%	184777	3.17%	96321	1.65%	100116	1.72%
SRR12212425	old	3206771	101	2539773	79.20%	1019536	977171	0.18%	316358	9.87%	201241	6.28%	32825	1.02%	116574	3.64%
SRR12212426	old	3342485	101	2660072	79.58%	1039196	997375	0.19%	331020	9.90%	190780	5.71%	49336	1.48%	111277	3.33%
SRR12212427	old	3315363	101	2696771	81.34%	1087798	1055132	0.19%	303737	9.16%	173058	5.22%	38148	1.15%	103649	3.13%
SRR12212428	old	3711988	101	3066355	82.61%	1219841	1165204	0.20%	331779	8.94%	167560	4.51%	53738	1.45%	92556	2.49%
