Cell,Total reads,Unaligned reads,Uniquely aligned reads,Multi-aligned reads,Aligment rate,Total features,Total counts in features,Predicted_configuration
yGV_20A,"5,159,311","883,296","3,755,170","517,532",82.82%,"19,946","3,435,837",NSN
yGV_21A,"4,993,252","854,566","3,628,682","510,004",82.89%,"20,244","3,306,110",NSN
yGV_18A,"5,850,270","1,041,628","4,177,115","631,527",82.20%,"20,683","3,812,749",NSN
yGV_19A,"4,641,554","781,941","3,399,583","460,030",83.15%,"20,022","3,125,802",NSN
yGV_24A,"11,476,683","1,496,172","8,950,167","1,030,344",86.96%,"23,005","8,231,046",SN
yGV_22A,"7,348,756","1,120,841","5,547,639","680,276",84.75%,"22,052","5,054,649",SN
yGV_17A,"4,233,589","796,917","2,979,928","456,744",81.18%,"19,589","2,735,338",NSN
yGV_20,"4,958,268","876,483","3,562,881","518,904",82.32%,"20,126","3,248,072",NSN
yGV_21,"4,625,930","670,268","3,525,670","429,992",85.51%,"21,469","3,198,403",SN
yGV_18,"5,878,917","1,004,887","4,254,072","619,958",82.91%,"20,720","3,852,443",NSN
yGV_19,"4,128,992","748,615","2,940,100","440,277",81.87%,"19,324","2,717,795",NSN
yGV_24,"3,426,379","550,173","2,542,618","333,588",83.94%,"19,253","2,338,311",NSN
yGV_22,"3,793,019","576,213","2,845,421","371,385",84.81%,"20,036","2,594,496",SN
yGV_23,"2,371,556","331,001","1,839,823","200,732",86.04%,"17,535","1,675,545",SN
yGV_17,"4,153,054","738,890","2,983,388","430,776",82.21%,"20,364","2,705,049",NSN
oGV_44A,"4,035,763","730,194","2,844,355","461,214",81.91%,"18,950","2,580,474",NSN
oGV_45A,"3,276,709","549,892","2,390,748","336,069",83.22%,"18,503","2,199,298",NSN
oGV_42A,"5,995,032","1,063,614","4,216,026","715,392",82.26%,"20,765","3,840,379",NSN
oGV_43A,"3,976,010","730,424","2,795,980","449,606",81.63%,"18,988","2,561,334",NSN
oGV_48A,"5,651,481","922,224","3,961,286","767,971",83.68%,"21,077","3,588,332",NA
oGV_46A,"4,143,146","685,897","3,019,455","437,794",83.45%,"19,431","2,775,257",NSN
oGV_47A,"7,945,247","1,178,492","5,917,663","849,092",85.17%,"21,553","5,448,310",NSN
oGV_41A,"4,532,824","783,327","3,250,907","498,590",82.72%,"19,628","2,968,358",NSN
oGV_12A,"3,149,377","457,203","2,408,750","283,424",85.48%,"18,370","2,200,235",NSN
oGV_13A,"3,339,137","460,380","2,590,601","288,156",86.21%,"19,120","2,385,433",NSN
oGV_10A,"1,911,379","301,949","1,428,514","180,916",84.20%,"16,807","1,309,984",NSN
oGV_11A,"2,296,292","334,769","1,761,177","200,346",85.42%,"17,365","1,639,101",NSN
oGV_16A,"3,642,270","511,569","2,785,832","344,869",85.95%,"19,033","2,557,805",NSN
oGV_14A,"3,126,843","471,430","2,358,673","296,740",84.92%,"18,188","2,155,084",NSN
oGV_15A,"5,060,980","700,787","3,882,747","477,446",86.15%,"20,261","3,544,297",NSN
oGV_9A,"1,767,215","321,843","1,267,351","178,021",81.79%,"16,408","1,167,641",NSN
oGV_12,"3,011,086","474,974","2,272,444","263,668",84.23%,"18,876","2,070,501",SN
oGV_13,"2,805,059","452,663","2,092,780","259,616",83.86%,"17,235","1,937,461",NSN
oGV_10,"3,338,828","563,759","2,445,841","329,228",83.12%,"18,549","2,221,773",NSN
oGV_11,"2,331,591","397,727","1,712,474","221,390",82.94%,"17,205","1,571,530",NSN
oGV_16,"1,470,314","247,118","1,071,659","151,537",83.19%,"15,575","976,456",NSN
oGV_14,"2,800,121","440,461","2,106,694","252,966",84.27%,"17,852","1,923,576",NSN
oGV_15,"1,460,114","216,001","1,119,832","124,281",85.21%,"15,973","1,026,646",SN
oGV_9,"3,230,584","617,873","2,266,639","346,072",80.87%,"18,041","2,058,962",NSN
yGV_4A,"4,261,007","617,131","3,269,681","374,195",85.52%,"18,992","2,995,895",NSN
yGV_5A,"3,941,020","528,896","3,078,515","333,609",86.58%,"19,264","2,855,386",NSN
yGV_2A,"3,646,040","563,166","2,731,081","351,793",84.55%,"19,019","2,482,573",NSN
yGV_3A,"3,764,717","543,173","2,896,708","324,836",85.57%,"19,053","2,673,243",NSN
yGV_6A,"3,808,889","581,694","2,860,935","366,260",84.73%,"19,663","2,631,999",NSN
yGV_7A,"4,586,343","593,843","3,578,575","413,925",87.05%,"19,907","3,310,098",NSN
yGV_1A,"2,311,455","363,218","1,741,936","206,301",84.29%,"18,483","1,579,196",SN
yGV_36A,"4,371,296","756,546","3,156,062","458,688",82.69%,"19,985","2,902,659",NSN
yGV_37A,"4,233,989","757,898","3,028,965","447,126",82.10%,"19,632","2,791,177",NSN
yGV_34A,"2,602,740","494,859","1,817,684","290,197",80.99%,"18,198","1,651,436",SN
yGV_35A,"3,121,406","537,352","2,272,943","311,111",82.78%,"19,024","2,047,953",SN
yGV_38A,"5,078,529","846,149","3,706,313","526,067",83.34%,"20,736","3,391,981",SN
