run_clean	age_group	bam_path	run_key	age_group_clean	geo_accession_exp	biosample	experiment	age_group_geo	sample_name_geo	source_name	developmental_stage	gsm_id	ogv_id	cell	predicted_configuration
SRR12212408	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212408.Aligned.sortedByCoord.out.bam	SRR12212408	old	GSM4669702	SAMN15520627	SRX8723012	old	GSM4669702	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669702	oGV_12	oGV_12	SN
SRR12212414	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212414.Aligned.sortedByCoord.out.bam	SRR12212414	old	GSM4669708	SAMN15520647	SRX8723018	old	GSM4669708	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669708	oGV_15	oGV_15	SN
SRR12212419	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212419.Aligned.sortedByCoord.out.bam	SRR12212419	old	GSM4669713	SAMN15520601	SRX8723023	old	GSM4669713	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669713	oGV_26A	oGV_26A	SN
SRR12212421	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212421.Aligned.sortedByCoord.out.bam	SRR12212421	old	GSM4669715	SAMN15520642	SRX8723025	old	GSM4669715	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669715	oGV_27A	oGV_27A	SN
SRR12212423	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212423.Aligned.sortedByCoord.out.bam	SRR12212423	old	GSM4669717	SAMN15520640	SRX8723027	old	GSM4669717	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669717	oGV_28A	oGV_28A	SN
SRR12212432	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212432.Aligned.sortedByCoord.out.bam	SRR12212432	old	GSM4669726	SAMN15520619	SRX8723036	old	GSM4669726	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669726	oGV_41	oGV_41	SN
SRR12212442	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212442.Aligned.sortedByCoord.out.bam	SRR12212442	old	GSM4669736	SAMN15520609	SRX8723046	old	GSM4669736	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669736	oGV_46	oGV_46	SN
SRR12212444	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212444.Aligned.sortedByCoord.out.bam	SRR12212444	old	GSM4669738	SAMN15520607	SRX8723048	old	GSM4669738	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669738	oGV_47	oGV_47	SN
SRR12212455	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212455.Aligned.sortedByCoord.out.bam	SRR12212455	young	GSM4669749	SAMN15520680	SRX8723059	young	GSM4669749	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669749	yGV_1A	yGV_1A	SN
SRR12212460	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212460.Aligned.sortedByCoord.out.bam	SRR12212460	young	GSM4669754	SAMN15520675	SRX8723064	young	GSM4669754	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669754	yGV_21	yGV_21	SN
SRR12212461	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212461.Aligned.sortedByCoord.out.bam	SRR12212461	young	GSM4669755	SAMN15520674	SRX8723065	young	GSM4669755	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669755	yGV_22A	yGV_22A	SN
SRR12212462	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212462.Aligned.sortedByCoord.out.bam	SRR12212462	young	GSM4669756	SAMN15520671	SRX8723066	young	GSM4669756	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669756	yGV_22	yGV_22	SN
SRR12212463	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212463.Aligned.sortedByCoord.out.bam	SRR12212463	young	GSM4669757	SAMN15520669	SRX8723067	young	GSM4669757	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669757	yGV_23	yGV_23	SN
SRR12212464	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212464.Aligned.sortedByCoord.out.bam	SRR12212464	young	GSM4669758	SAMN15520668	SRX8723068	young	GSM4669758	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669758	yGV_24A	yGV_24A	SN
SRR12212468	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212468.Aligned.sortedByCoord.out.bam	SRR12212468	young	GSM4669762	SAMN15520664	SRX8723072	young	GSM4669762	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669762	yGV_33A	yGV_33A	SN
SRR12212469	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212469.Aligned.sortedByCoord.out.bam	SRR12212469	young	GSM4669763	SAMN15520663	SRX8723073	young	GSM4669763	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669763	yGV_33	yGV_33	SN
SRR12212470	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212470.Aligned.sortedByCoord.out.bam	SRR12212470	young	GSM4669764	SAMN15520662	SRX8723074	young	GSM4669764	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669764	yGV_34A	yGV_34A	SN
SRR12212472	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212472.Aligned.sortedByCoord.out.bam	SRR12212472	young	GSM4669766	SAMN15520660	SRX8723076	young	GSM4669766	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669766	yGV_35A	yGV_35A	SN
SRR12212477	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212477.Aligned.sortedByCoord.out.bam	SRR12212477	young	GSM4669771	SAMN15520655	SRX8723081	young	GSM4669771	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669771	yGV_38A	yGV_38A	SN
SRR12212478	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212478.Aligned.sortedByCoord.out.bam	SRR12212478	young	GSM4669772	SAMN15520654	SRX8723082	young	GSM4669772	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669772	yGV_38	yGV_38	SN
