run_clean	age_group	bam_path	run_key	age_group_clean	geo_accession_exp	biosample	experiment	age_group_geo	sample_name_geo	source_name	developmental_stage	gsm_id	ogv_id	cell	predicted_configuration
SRR12212404	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212404.Aligned.sortedByCoord.out.bam	SRR12212404	old	GSM4669698	SAMN15520631	SRX8723008	old	GSM4669698	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669698	oGV_10	oGV_10	NSN
SRR12212405	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212405.Aligned.sortedByCoord.out.bam	SRR12212405	old	GSM4669699	SAMN15520630	SRX8723009	old	GSM4669699	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669699	oGV_11A	oGV_11A	NSN
SRR12212406	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212406.Aligned.sortedByCoord.out.bam	SRR12212406	old	GSM4669700	SAMN15520629	SRX8723010	old	GSM4669700	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669700	oGV_11	oGV_11	NSN
SRR12212407	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212407.Aligned.sortedByCoord.out.bam	SRR12212407	old	GSM4669701	SAMN15520628	SRX8723011	old	GSM4669701	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669701	oGV_12A	oGV_12A	NSN
SRR12212408	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212408.Aligned.sortedByCoord.out.bam	SRR12212408	old	GSM4669702	SAMN15520627	SRX8723012	old	GSM4669702	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669702	oGV_12	oGV_12	SN
SRR12212409	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212409.Aligned.sortedByCoord.out.bam	SRR12212409	old	GSM4669703	SAMN15520626	SRX8723013	old	GSM4669703	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669703	oGV_13A	oGV_13A	NSN
SRR12212410	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212410.Aligned.sortedByCoord.out.bam	SRR12212410	old	GSM4669704	SAMN15520625	SRX8723014	old	GSM4669704	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669704	oGV_13	oGV_13	NSN
SRR12212411	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212411.Aligned.sortedByCoord.out.bam	SRR12212411	old	GSM4669705	SAMN15520624	SRX8723015	old	GSM4669705	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669705	oGV_14A	oGV_14A	NSN
SRR12212412	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212412.Aligned.sortedByCoord.out.bam	SRR12212412	old	GSM4669706	SAMN15520623	SRX8723016	old	GSM4669706	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669706	oGV_14	oGV_14	NSN
SRR12212413	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212413.Aligned.sortedByCoord.out.bam	SRR12212413	old	GSM4669707	SAMN15520648	SRX8723017	old	GSM4669707	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669707	oGV_15A	oGV_15A	NSN
