sample_id	PC1	PC2	PC3	PC4	PC5	run_clean	age_group	bam_path	run_key	age_group_clean	geo_accession_exp	biosample	experiment	age_group_geo	sample_name_geo	source_name	developmental_stage	gsm_id	ogv_id	cell	predicted_configuration
SRR12212404	-14.268312441406625	2.121845024769102	9.227262856901005	4.383942363778769	-0.7803837874636997	SRR12212404	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212404.Aligned.sortedByCoord.out.bam	SRR12212404	old	GSM4669698	SAMN15520631	SRX8723008	old	GSM4669698	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669698	oGV_10	oGV_10	SN
SRR12212405	-9.632024120024411	2.728230395556809	-5.050643946099305	-5.5726888244099735	-0.11765134371783698	SRR12212405	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212405.Aligned.sortedByCoord.out.bam	SRR12212405	old	GSM4669699	SAMN15520630	SRX8723009	old	GSM4669699	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669699	oGV_11A	oGV_11A	SN
SRR12212406	-4.389241846197158	8.210116161975689	1.6153331117879255	2.370725361883649	2.534991429339734	SRR12212406	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212406.Aligned.sortedByCoord.out.bam	SRR12212406	old	GSM4669700	SAMN15520629	SRX8723010	old	GSM4669700	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669700	oGV_11	oGV_11	SN
SRR12212407	-6.063782438462408	3.0355918154387562	-9.66134578431957	-6.511745426802084	2.378057956740001	SRR12212407	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212407.Aligned.sortedByCoord.out.bam	SRR12212407	old	GSM4669701	SAMN15520628	SRX8723011	old	GSM4669701	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669701	oGV_12A	oGV_12A	SN
SRR12212408	13.048036045898407	8.913617611430935	3.322097096638656	0.9269577833440543	-0.9631166267617641	SRR12212408	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212408.Aligned.sortedByCoord.out.bam	SRR12212408	old	GSM4669702	SAMN15520627	SRX8723012	old	GSM4669702	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669702	oGV_12	oGV_12	NSN
SRR12212409	1.429626503811002	0.6035010375793713	-11.08664782996563	-8.860397881184776	2.760421441370113	SRR12212409	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212409.Aligned.sortedByCoord.out.bam	SRR12212409	old	GSM4669703	SAMN15520626	SRX8723013	old	GSM4669703	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669703	oGV_13A	oGV_13A	SN
SRR12212410	-2.956526287158885	10.271065276840293	-2.84751500543241	4.582521909671202	3.878277078430966	SRR12212410	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212410.Aligned.sortedByCoord.out.bam	SRR12212410	old	GSM4669704	SAMN15520625	SRX8723014	old	GSM4669704	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669704	oGV_13	oGV_13	SN
SRR12212411	-7.979035594093082	-0.8412463061162448	-9.542913080291228	-3.881565525484972	4.087524675943823	SRR12212411	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212411.Aligned.sortedByCoord.out.bam	SRR12212411	old	GSM4669705	SAMN15520624	SRX8723015	old	GSM4669705	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669705	oGV_14A	oGV_14A	SN
SRR12212412	-2.575832146072193	8.78007310967063	-2.0857980750230576	2.300957818803716	5.495997903981203	SRR12212412	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212412.Aligned.sortedByCoord.out.bam	SRR12212412	old	GSM4669706	SAMN15520623	SRX8723016	old	GSM4669706	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669706	oGV_14	oGV_14	SN
SRR12212413	-11.148268045792937	-7.0801572899307414	-7.855768686024333	-8.013813932916023	5.263345246002016	SRR12212413	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212413.Aligned.sortedByCoord.out.bam	SRR12212413	old	GSM4669707	SAMN15520648	SRX8723017	old	GSM4669707	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669707	oGV_15A	oGV_15A	SN
