sample_id	PC1	PC2	PC3	PC4	PC5	run_clean	age_group	bam_path	run_key	age_group_clean	geo_accession_exp	biosample	experiment	age_group_geo	sample_name_geo	source_name	developmental_stage	gsm_id	ogv_id	cell	predicted_configuration
SRR12212408	-3.5607021020968164	2.950317873046732	4.568270299479371	11.090368341175596	11.64915468705899	SRR12212408	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212408.Aligned.sortedByCoord.out.bam	SRR12212408	old	GSM4669702	SAMN15520627	SRX8723012	old	GSM4669702	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669702	oGV_12	oGV_12	NSN
SRR12212414	-12.945631709709016	-4.033794903176695	13.740412772136878	22.854782154428726	-16.079325650937566	SRR12212414	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212414.Aligned.sortedByCoord.out.bam	SRR12212414	old	GSM4669708	SAMN15520647	SRX8723018	old	GSM4669708	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669708	oGV_15	oGV_15	NSN
SRR12212419	13.326662949665206	6.882312992086383	-4.144828050513244	7.180885794096334	4.353966571656014	SRR12212419	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212419.Aligned.sortedByCoord.out.bam	SRR12212419	old	GSM4669713	SAMN15520601	SRX8723023	old	GSM4669713	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669713	oGV_26A	oGV_26A	NSN
SRR12212421	9.581254707586728	-4.18618809141588	-4.190126502276947	5.012578764391387	2.2881113544342515	SRR12212421	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212421.Aligned.sortedByCoord.out.bam	SRR12212421	old	GSM4669715	SAMN15520642	SRX8723025	old	GSM4669715	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669715	oGV_27A	oGV_27A	NSN
SRR12212423	12.233540448137683	-1.1210758685130993	-0.04958122013564244	5.517215033515182	3.3245592646783133	SRR12212423	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212423.Aligned.sortedByCoord.out.bam	SRR12212423	old	GSM4669717	SAMN15520640	SRX8723027	old	GSM4669717	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669717	oGV_28A	oGV_28A	NSN
SRR12212432	6.5283553585469525	-1.8341923698529936	5.280567756894365	-5.1127338672241125	-1.9579544382812748	SRR12212432	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212432.Aligned.sortedByCoord.out.bam	SRR12212432	old	GSM4669726	SAMN15520619	SRX8723036	old	GSM4669726	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669726	oGV_41	oGV_41	NSN
SRR12212442	17.939739311630433	-13.959366780472129	2.805878814021779	-3.801453486461455	-5.982168342831327	SRR12212442	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212442.Aligned.sortedByCoord.out.bam	SRR12212442	old	GSM4669736	SAMN15520609	SRX8723046	old	GSM4669736	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669736	oGV_46	oGV_46	NSN
SRR12212444	-0.4599489674124417	-13.549341940832015	4.860670817142981	-8.041659761256641	-3.1744342689799883	SRR12212444	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212444.Aligned.sortedByCoord.out.bam	SRR12212444	old	GSM4669738	SAMN15520607	SRX8723048	old	GSM4669738	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669738	oGV_47	oGV_47	NSN
SRR12212455	-4.5911986989890385	14.072877932245474	-28.336023724719936	4.409304424590808	-9.276582715501863	SRR12212455	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212455.Aligned.sortedByCoord.out.bam	SRR12212455	young	GSM4669749	SAMN15520680	SRX8723059	young	GSM4669749	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669749	yGV_1A	yGV_1A	NSN
SRR12212460	11.384188420487755	-11.927513751330155	-2.681530591621061	-2.175950909030451	-1.4602573862493629	SRR12212460	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212460.Aligned.sortedByCoord.out.bam	SRR12212460	young	GSM4669754	SAMN15520675	SRX8723064	young	GSM4669754	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669754	yGV_21	yGV_21	NSN
