tran_id	gene_id	gene_short_name	gene_type
chr19:58943425:58943621:+@chr19:58945531|58945534:58945662	ENSMUSG00000048029	Eno4	character(0)
chr19:58962782:58962907:+@chr19:58964378|58964439:58964573	ENSMUSG00000048029	Eno4	character(0)
chr19:56470937:56471043:+@chr19:56471698|56471701:56471832	ENSMUSG00000035818	Plekhs1	character(0)
chr19:56473189:56473264:+@chr19:56474138|56474141:56474254	ENSMUSG00000035818	Plekhs1	character(0)
chr19:55183717:55183859:+@chr19:55183933|55183963:55184035	ENSMUSG00000024979	Tectb	character(0)
chr19:46450891:46450963:+@chr19:46453159|46453162:46453315	ENSMUSG00000025231	Sufu	character(0)
chr19:46267993:46268116:+@chr19:46268391|46268420:46268516	ENSMUSG00000025224	Gbf1	character(0)
chr19:43760689:43760724:+@chr19:43762873|43762903:43763006	ENSMUSG00000025193	Cutc	character(0)
chr19:41938364:41938452:+@chr19:41938720|41938808:41938836	ENSMUSG00000025157	Zdhhc16	character(0)
chr19:40876299:40876398:+@chr19:40876737|40876836:40876873	ENSMUSG00000097740	E030044B06Rik	character(0)
chr19:39290729:39290891:+@chr19:39291038|39291057:39291206	ENSMUSG00000003053	Cyp2c29	character(0)
chr19:37570383:37570554:+@chr19:37571593|37571599:37571640	ENSMUSG00000053799	Exoc6	character(0)
chr19:37220303:37220486:+@chr19:37220639|37220669:37220805	ENSMUSG00000023307	Marchf5	character(0)
chr19:36599596:36599719:+@chr19:36601429|36601432:36601528	ENSMUSG00000041180	Hectd2	character(0)
chr19:36599596:36599719:+@chr19:36601429|36601470:36601528	ENSMUSG00000041180	Hectd2	character(0)
chr19:36599596:36599719:+@chr19:36601432|36601470:36601528	ENSMUSG00000041180	Hectd2	character(0)
chr19:36606386:36606474:+@chr19:36609256|36609265:36609423	ENSMUSG00000041180	Hectd2	character(0)
chr19:34936777:34936848:+@chr19:34936938|34936967:34937084	ENSMUSG00000024795	Kif20b	character(0)
chr19:34940093:34940231:+@chr19:34941213|34941333:34941441	ENSMUSG00000024795	Kif20b	character(0)
chr19:34018679:34018791:+@chr19:34020208|34020223:34020340	ENSMUSG00000024771	Lipk	character(0)
chr19:21678353:21678822:+@chr19:21680868|21680990:21681047	ENSMUSG00000047368	Abhd17b	character(0)
chr19:20422630:20422721:+@chr19:20433885|20433896:20434130	ENSMUSG00000094732	1500015L24Rik	character(0)
chr19:18823333:18823479:+@chr19:18825751|18825791:18825879	ENSMUSG00000024727	Trpm6	character(0)
chr19:11523910:11523966:+@chr19:11526621|11526700:11526897	ENSMUSG00000024677	Ms4a6b	character(0)
chr19:10897817:10897893:+@chr19:10898926|10898983:10899124	ENSMUSG00000024735	Prpf19	character(0)
chr19:10184927:10185037:+@chr19:10185578|10185685:10185882	ENSMUSG00000010663	Fads1	character(0)
chr19:8930799:8930970:+@chr19:8931044|8931047:8931304	ENSMUSG00000071647	Eml3	character(0)
chr19:8921806:8921980:+@chr19:8925538|8925704:8925898	ENSMUSG00000071649	B3gat3	character(0)
chr19:8749906:8750027:+@chr19:8754877|8754909:8755642	ENSMUSG00000010110	Stx5a	character(0)
chr19:6401716:6401863:+@chr19:6402472|6402552:6402574	ENSMUSG00000032946	Rasgrp2	character(0)
chr19:6341459:6341516:+@chr19:6341744|6341767:6341834	ENSMUSG00000024948	Map4k2	character(0)
chr19:6341459:6341516:+@chr19:6341744|6341770:6341834	ENSMUSG00000024948	Map4k2	character(0)
chr19:6341459:6341516:+@chr19:6341767|6341770:6341834	ENSMUSG00000024948	Map4k2	character(0)
chr19:6343255:6343386:+@chr19:6343461|6343488:6343523	ENSMUSG00000024948	Map4k2	character(0)
chr19:6353120:6353190:+@chr19:6353261|6353278:6353333	ENSMUSG00000024948	Map4k2	character(0)
chr19:6337153:6337281:+@chr19:6337479|6337482:6337519	ENSMUSG00000024947	Men1	character(0)
chr19:6058243:6058325:+@chr19:6058428|6058533:6058572	ENSMUSG00000038274	Fau	character(0)
chr19:5745440:5745769:+@chr19:5745918|5745980:5746120	ENSMUSG00000024940	Ltbp3	character(0)
chr19:5757311:5757472:+@chr19:5757547|5757555:5757627	ENSMUSG00000024940	Ltbp3	character(0)
chr19:4962879:4962974:+@chr19:4963326|4963383:4963419	ENSMUSG00000024902	Mrpl11	character(0)
chr19:4110495:4110659:+@chr19:4110842|4110948:4110990	ENSMUSG00000024851	Pitpnm1	character(0)
chr19:4112327:4112510:+@chr19:4112662|4112748:4112876	ENSMUSG00000024851	Pitpnm1	character(0)
chr19:3963839:3964001:+@chr19:3964468|3964472:3964578	ENSMUSG00000037263	Aldh3b3	character(0)
chr18:89113325:89113451:+@chr18:89115445|89115500:89115644	ENSMUSG00000023066	Rttn	character(0)
chr18:82575172:82575207:+@chr18:82575535|82575601:82575633	ENSMUSG00000041607	Mbp	character(0)
chr18:77962381:77962538:+@chr18:77964901|77964950:77965055	ENSMUSG00000039840	Epg5	character(0)
chr18:65447553:65447712:+@chr18:65448179|65448183:65448357	ENSMUSG00000032688	Malt1	character(0)
chr18:62982619:62982703:+@chr18:62983360|62983374:62983391	ENSMUSG00000024581	Napg	character(0)
chr18:61989344:61991044:+@chr18:61991138|61991178:61991318	ENSMUSG00000045629	Sh3tc2	character(0)
chr18:59065835:59065885:+@chr18:59066817|59066910:59066989	ENSMUSG00000050875	Minar2	character(0)
