ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000025221"	"Kcnip2"	chr19	-	45794479	45794587	45794739	45794810	45794198	45794303	45794977	45795047
1	"ENSMUSG00000056999"	"Ide"	chr19	-	37290043	37290188	37290669	37290814	37288097	37288208	37295882	37295965
2	"ENSMUSG00000024680"	"Ms4a2"	chr19	-	11618726	11618783	11618853	11618898	11618415	11618514	11619616	11619673
3	"ENSMUSG00000024680"	"Ms4a2"	chr19	-	11618726	11618783	11618853	11619009	11618415	11618514	11619616	11619673
4	"ENSMUSG00000034108"	"Ccs"	chr19	-	4833340	4833518	4834172	4834310	4832832	4832893	4838830	4838903
5	"ENSMUSG00000040247"	"Tbc1d10c"	chr19	-	4187941	4188131	4188245	4188311	4185351	4185506	4188943	4189054
6	"ENSMUSG00000040247"	"Tbc1d10c"	chr19	-	4188245	4188311	4188943	4189054	4187941	4188131	4189212	4189319
7	"ENSMUSG00000024843"	"Chka"	chr19	+	3875734	3875788	3882009	3882120	3864647	3864759	3884471	3884585
8	"ENSMUSG00000024587"	"Nars"	chr18	-	64509244	64509315	64510452	64510531	64507771	64507858	64511610	64511700
9	"ENSMUSG00000024587"	"Nars"	chr18	-	64510452	64510531	64511610	64511700	64509244	64509315	64511784	64511877
10	"ENSMUSG00000036452"	"Arhgap26"	chr18	+	39357552	39357663	39357737	39357828	39306701	39306852	39363116	39363208
11	"ENSMUSG00000024357"	"Sil1"	chr18	-	35348639	35348760	35403325	35403469	35341097	35341197	35418056	35418195
12	"ENSMUSG00000024411"	"Aqp4"	chr18	-	15404180	15404364	15407983	15408088	15399587	15400002	15410891	15410982
13	"ENSMUSG00000024411"	"Aqp4"	chr18	-	15404180	15404364	15409277	15409407	15399587	15400002	15410891	15410982
14	"ENSMUSG00000024411"	"Aqp4"	chr18	-	15407983	15408088	15409277	15409407	15399587	15400002	15410891	15410982
15	"ENSMUSG00000099550"	"Gm28079"	chrY	-	70011119	70011303	70012700	70012830	70010534	70010604	70014707	70014755
16	"ENSMUSG00000101032"	"Gm29377"	chrY	+	66375896	66376027	66377424	66377608	66373977	66374025	66378123	66378193
17	"ENSMUSG00000058704"	"Memo1"	chr17	-	74217026	74217103	74220487	74220540	74202260	74202365	74225431	74225574
18	"ENSMUSG00000024059"	"Clip4"	chr17	+	71824689	71824916	71827691	71827781	71810846	71810982	71828506	71828650
19	"ENSMUSG00000024059"	"Clip4"	chr17	+	71831204	71831339	71834044	71834307	71828506	71828650	71837693	71837758
20	"ENSMUSG00000024049"	"Myom1"	chr17	+	71120793	71120816	71121125	71121148	71120645	71120682	71122556	71122612
21	"ENSMUSG00000024044"	"Epb41l3"	chr17	+	69273881	69273917	69274100	69274166	69270610	69270664	69274703	69274895
22	"ENSMUSG00000024044"	"Epb41l3"	chr17	+	69281032	69281107	69283884	69284007	69274703	69274895	69284538	69284916
23	"ENSMUSG00000013662"	"Atad1"	chr19	-	32706834	32707009	32737227	32737274	32702539	32702638	32739641	32739783
24	"ENSMUSG00000073406"	"H2-Bl"	chr17	-	36081241	36081517	36083232	36083508	36080998	36081115	36083695	36083965
25	"ENSMUSG00000059714"	"Flot1"	chr17	+	35824278	35824369	35824565	35824709	35824126	35824202	35824832	35824952
