tran_id	event_type	gene_id	gene_short_name	gene_type	exon.1	exon.2	exon.3	n.cells.g1	n.cells.g2	mean.g1	mean.g2	mean.diff	statistic	p.val	p.val.adj	modality.bimodal.adj.g1	modality.bimodal.adj.g2	n.cells.outliers.g1	n.cells.outliers.g2	outliers
chr11:61546150:61546373:-:-@chr11:61544158:61544328:-:-@chr11:61535271:61535383:-	SE	ENSMUSG00000001036	Epn2	character(0)	chr11:61546150:61546373:-	chr11:61544158:61544328:-	chr11:61535271:61535383:-	42	42	45.87512650145719	51.3671875450599	5.492061043602709	NA	0.0013403589789030368	0.8052812805389916	Missing	Missing	0	0	FALSE
chr6:137537618:137537694:-:-@chr6:137530542:137530592:-:-@chr6:137528525:137528592:-	SE	ENSMUSG00000015766	Eps8	character(0)	chr6:137537618:137537694:-	chr6:137530542:137530592:-	chr6:137528525:137528592:-	31	32	0.3770423125261835	1.6552256719576508	1.2781833594314673	NA	0.0017055203531231794	0.8052812805389916	Missing	Missing	0	0	FALSE
chr2:60245212:60245260:+:+@chr2:60247488:60247512:+:+@chr2:60247890:60247957:+	SE	ENSMUSG00000026977	Marchf7	character(0)	chr2:60245212:60245260:+	chr2:60247488:60247512:+	chr2:60247890:60247957:+	45	42	8.025366555180469	9.964820435141219	1.9394538799607495	NA	0.0017979964608699178	0.8052812805389916	Missing	Missing	0	0	FALSE
chr17:48400438:48400580:-:-@chr17:48398982:48399068:-:-@chr17:48395650:48395796:-	SE	ENSMUSG00000023994	Nfya	character(0)	chr17:48400438:48400580:-	chr17:48398982:48399068:-	chr17:48395650:48395796:-	21	34	37.29614343298255	46.19982180007118	8.90367836708863	NA	0.0025714332850243797	0.8052812805389916	Missing	Missing	0	0	FALSE
chr19:11688667:11688848:-:-@chr19:11687335:11687432:-:-@chr19:11668297:11668416:-	SE	ENSMUSG00000041857	Oosp1	character(0)	chr19:11688667:11688848:-	chr19:11687335:11687432:-	chr19:11668297:11668416:-	45	42	91.52214388331164	92.31103688234892	0.7888929990372717	NA	0.0035923474564899575	0.8052812805389916	Missing	Missing	0	0	FALSE
chr5:100518309:100518550:+:+@chr5:100527974:100528053:+:+@chr5:100528539:100528690:+	SE	ENSMUSG00000035297	Cops4	character(0)	chr5:100518309:100518550:+	chr5:100527974:100528053:+	chr5:100528539:100528690:+	43	42	97.85274034111283	99.25942411426804	1.406683773155215	NA	0.004454169314216107	0.8052812805389916	Missing	Missing	0	0	FALSE
chr4:143789352:143789431:+:+@chr4:143792701:143793011:+:+@chr4:143793529:143793676:+	SE	ENSMUSG00000066031	Gm13023	character(0)	chr4:143789352:143789431:+	chr4:143792701:143793011:+	chr4:143793529:143793676:+	45	42	84.46991812723665	86.91529326974178	2.445375142505124	NA	0.0048651949232620005	0.8052812805389916	Missing	Missing	0	0	FALSE
chr5:100798627:100798860:+:+@chr5:100799552:100799613:+:+@chr5:100801908:100801991:+	SE	ENSMUSG00000016833	Mrps18c	character(0)	chr5:100798627:100798860:+	chr5:100799552:100799613:+	chr5:100801908:100801991:+	41	41	98.86153666805735	99.8429416112343	0.9814049431769445	NA	0.0063779059404014396	0.8052812805389916	Missing	Missing	0	0	FALSE
chr5:65571532:65571590:+:+@chr5:65581386:65581468:+:+@chr5:65591876:65591975:+	SE	ENSMUSG00000029203	Ube2k	character(0)	chr5:65571532:65571590:+	chr5:65581386:65581468:+	chr5:65591876:65591975:+	45	42	99.7197399493397	99.96128532713898	0.24154537779927931	NA	0.007100974361302764	0.8052812805389916	Missing	Missing	0	0	FALSE
chr19:11697055:11697171:+:+@chr19:11699352:11699530:+:+@chr19:11700914:11701011:+	SE	ENSMUSG00000055933	Oosp3	character(0)	chr19:11697055:11697171:+	chr19:11699352:11699530:+	chr19:11700914:11701011:+	45	42	76.00908417017962	78.57559209508146	2.5665079249018397	NA	0.00831872257307146	0.8052812805389916	Missing	Missing	0	0	FALSE
chr12:76961990:76962025:-:-@chr12:76961263:76961289:-:-@chr12:76953169:76953276:-	SE	ENSMUSG00000059436	Max	character(0)	chr12:76961990:76962025:-	chr12:76961263:76961289:-	chr12:76953169:76953276:-	19	16	6.254814043264001	12.706762407000467	6.451948363736465	NA	0.009167381903456645	0.8052812805389916	Missing	Missing	0	0	FALSE
