ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000094337"	"Gm3286"	chrGL456354.1	-	84520	85111	82992	83560	85764	86051
1	"ENSMUSG00000024993"	"Fam45a"	chr19	+	60817530	60817610	60814591	60814808	60821206	60821355
2	"ENSMUSG00000033417"	"Cacul1"	chr19	-	60534135	60534274	60529464	60529508	60543009	60543112
3	"ENSMUSG00000033417"	"Cacul1"	chr19	-	60537413	60537503	60534135	60534274	60543009	60543112
4	"ENSMUSG00000057858"	"Fam204a"	chr19	-	60220489	60220577	60220329	60220360	60221053	60221304
5	"ENSMUSG00000057858"	"Fam204a"	chr19	-	60224864	60224899	60221053	60221304	60226643	60226701
6	"ENSMUSG00000043969"	"Emx2"	chr19	+	59461661	59461846	59458371	59459624	59463879	59465357
7	"ENSMUSG00000025089"	"Gfra1"	chr19	-	58257727	58257813	58239253	58239307	58263911	58264093
8	"ENSMUSG00000025089"	"Gfra1"	chr19	-	58392572	58392587	58300241	58300578	58451968	58452052
9	"ENSMUSG00000025083"	"Afap1l2"	chr19	-	56933716	56933800	56930256	56930261	56937234	56937238
10	"ENSMUSG00000025083"	"Afap1l2"	chr19	-	57002249	57002303	56950137	56950266	57008150	57008210
11	"ENSMUSG00000024982"	"Zdhhc6"	chr19	-	55298694	55298888	55289585	55289684	55302557	55302604
12	"ENSMUSG00000024982"	"Zdhhc6"	chr19	-	55312766	55312894	55311624	55311784	55313188	55313280
13	"ENSMUSG00000024976"	"Shoc2"	chr19	+	53949818	53949943	53944884	53945013	53987453	53987642
14	"ENSMUSG00000024976"	"Shoc2"	chr19	+	54003008	54003146	53987453	53988383	54017548	54017679
15	"ENSMUSG00000024976"	"Shoc2"	chr19	+	54017548	54017679	54003008	54003146	54026349	54026538
16	"ENSMUSG00000024976"	"Shoc2"	chr19	+	54026349	54026538	54003085	54003146	54027717	54027840
17	"ENSMUSG00000043639"	"Rbm20"	chr19	+	53852353	53852399	53851176	53851816	53853503	53853635
