tran_id	gene_id	gene_short_name	gene_type
chr19:60814592:60814808:+@chr19:60817531:60817610:+@chr19:60821207:60821355	ENSMUSG00000024993	Fam45a	character(0)
chr19:59458372:59459624:+@chr19:59461662:59461846:+@chr19:59463880:59465357	ENSMUSG00000043969	Emx2	character(0)
chr19:53944885:53945013:+@chr19:53949819:53949943:+@chr19:53987454:53987642	ENSMUSG00000024976	Shoc2	character(0)
chr19:53987454:53988383:+@chr19:54003009:54003146:+@chr19:54017549:54017679	ENSMUSG00000024976	Shoc2	character(0)
chr19:54003009:54003146:+@chr19:54017549:54017679:+@chr19:54026350:54026538	ENSMUSG00000024976	Shoc2	character(0)
chr19:54003086:54003146:+@chr19:54026350:54026538:+@chr19:54027718:54027840	ENSMUSG00000024976	Shoc2	character(0)
chr19:53851177:53851816:+@chr19:53852354:53852399:+@chr19:53853504:53853635	ENSMUSG00000043639	Rbm20	character(0)
chr19:53331351:53331483:+@chr19:53346451:53346480:+@chr19:53369542:53369656	ENSMUSG00000025025	Mxi1	character(0)
chr19:53076243:53076445:+@chr19:53078535:53079384:+@chr19:53083999:53084516	ENSMUSG00000099988	1700054A03Rik	character(0)
chr19:53076252:53076445:+@chr19:53079193:53079384:+@chr19:53083999:53084392	ENSMUSG00000099988	1700054A03Rik	character(0)
chr19:53076227:53076445:+@chr19:53081465:53083081:+@chr19:53083999:53084396	ENSMUSG00000099988	1700054A03Rik	character(0)
chr19:47872016:47872124:+@chr19:47874830:47875052:+@chr19:47884656:47884762	ENSMUSG00000025069	Gsto2	character(0)
chr19:47874830:47875052:+@chr19:47876396:47876497:+@chr19:47884656:47884762	ENSMUSG00000025069	Gsto2	character(0)
chr19:46868538:46868631:+@chr19:46871656:46871721:+@chr19:46877208:46877392	ENSMUSG00000064105	Cnnm2	character(0)
chr19:46707918:46708197:+@chr19:46708968:46709118:+@chr19:46709547:46709661	ENSMUSG00000003559	As3mt	character(0)
chr19:46708968:46709118:+@chr19:46709547:46709661:+@chr19:46712221:46712290	ENSMUSG00000003559	As3mt	character(0)
chr19:46708968:46709118:+@chr19:46709547:46709683:+@chr19:46712221:46712290	ENSMUSG00000003559	As3mt	character(0)
chr19:46587935:46588010:+@chr19:46588224:46588309:+@chr19:46590141:46590201	ENSMUSG00000025036	Sfxn2	character(0)
chr19:46588224:46588309:+@chr19:46589554:46589746:+@chr19:46590141:46590201	ENSMUSG00000025036	Sfxn2	character(0)
chr19:46396896:46397284:+@chr19:46401124:46401258:+@chr19:46424999:46425135	ENSMUSG00000025231	Sufu	character(0)
chr19:46356880:46356984:+@chr19:46366311:46366553:+@chr19:46367210:46367292	ENSMUSG00000025227	Mfsd13a	character(0)
chr19:46369237:46369333:+@chr19:46371936:46372107:+@chr19:46372182:46372375	ENSMUSG00000025227	Mfsd13a	character(0)
chr19:46310724:46310875:+@chr19:46311009:46311078:+@chr19:46311282:46311454	ENSMUSG00000025225	Nfkb2	character(0)
chr19:46152509:46152792:+@chr19:46163520:46163625:+@chr19:46170657:46170723	ENSMUSG00000025224	Gbf1	character(0)
chr19:46255653:46255707:+@chr19:46256408:46256482:+@chr19:46259104:46259251	ENSMUSG00000025224	Gbf1	character(0)
chr19:46269745:46269981:+@chr19:46270258:46270351:+@chr19:46270674:46270850	ENSMUSG00000025224	Gbf1	character(0)
chr19:46280538:46280731:+@chr19:46283035:46283185:+@chr19:46283320:46283450	ENSMUSG00000025224	Gbf1	character(0)
chr19:45151469:45151492:+@chr19:45152735:45152808:+@chr19:45153516:45153717	ENSMUSG00000025215	Tlx1	character(0)
chr19:45014865:45015323:+@chr19:45021387:45021836:+@chr19:45024719:45024917	ENSMUSG00000035342	Lzts2	character(0)
chr19:45021387:45021836:+@chr19:45023542:45024204:+@chr19:45024719:45024870	ENSMUSG00000035342	Lzts2	character(0)
chr19:44790683:44790802:+@chr19:44796628:44796696:+@chr19:44815908:44816083	ENSMUSG00000004231	Pax2	character(0)
chr19:44741665:44741806:+@chr19:44742059:44742395:+@chr19:44742583:44743444	ENSMUSG00000117823	Gm35610	character(0)
chr19:44620373:44620443:+@chr19:44623038:44623225:+@chr19:44636852:44636944	ENSMUSG00000117911	Gm35460	character(0)
chr19:44637267:44638269:+@chr19:44639524:44639659:+@chr19:44646153:44646256	ENSMUSG00000117911	Gm35460	character(0)
chr19:43472377:43472424:+@chr19:43476180:43476242:+@chr19:43484845:43485008	ENSMUSG00000025189	Cnnm1	character(0)
chr19:42184118:42184189:+@chr19:42185620:42185640:+@chr19:42185805:42185949	ENSMUSG00000018820	Zfyve27	character(0)
chr19:41933490:41933665:+@chr19:41934738:41934883:+@chr19:41937603:41937850	ENSMUSG00000025157	Zdhhc16	character(0)
chr19:41933480:41933665:+@chr19:41934840:41934883:+@chr19:41937603:41937850	ENSMUSG00000025157	Zdhhc16	character(0)
chr19:41939600:41939733:+@chr19:41939857:41939904:+@chr19:41940650:41940713	ENSMUSG00000025157	Zdhhc16	character(0)
chr19:41941936:41942006:+@chr19:41942130:41942224:+@chr19:41943582:41943596	ENSMUSG00000025157	Zdhhc16	character(0)
chr19:41055760:41055843:+@chr19:41058567:41058626:+@chr19:41059066:41059525	ENSMUSG00000025014	Dntt	character(0)
chr19:40659770:40659900:+@chr19:40711163:40711290:+@chr19:40720457:40720574	ENSMUSG00000048120	Entpd1	character(0)
chr19:40090945:40091105:+@chr19:40092204:40092380:+@chr19:40096717:40096858	ENSMUSG00000054827	Cyp2c50	character(0)
chr19:39113898:39114096:+@chr19:39141891:39142053:+@chr19:39142275:39142424	ENSMUSG00000067229	Cyp2c66	character(0)
chr19:38481109:38481356:+@chr19:38503108:38503180:+@chr19:38523915:38524066	ENSMUSG00000024998	Plce1	character(0)
chr19:38745766:38745895:+@chr19:38748410:38748451:+@chr19:38749292:38749413	ENSMUSG00000024998	Plce1	character(0)
chr19:36569373:36569502:+@chr19:36583936:36584074:+@chr19:36584896:36584998	ENSMUSG00000041180	Hectd2	character(0)
chr19:36587366:36587430:+@chr19:36595209:36595254:+@chr19:36597077:36597186	ENSMUSG00000041180	Hectd2	character(0)
chr19:36599596:36599719:+@chr19:36601429:36601528:+@chr19:36604250:36604357	ENSMUSG00000041180	Hectd2	character(0)
chr19:36599596:36599719:+@chr19:36601432:36601528:+@chr19:36604250:36604357	ENSMUSG00000041180	Hectd2	character(0)
chr19:36599596:36599719:+@chr19:36601470:36601528:+@chr19:36604250:36604357	ENSMUSG00000041180	Hectd2	character(0)
chr19:34959416:34959571:+@chr19:34964529:34964681:+@chr19:34966047:34966111	ENSMUSG00000024795	Kif20b	character(0)
chr19:34969920:34970117:+@chr19:34972397:34972498:+@chr19:34972859:34973009	ENSMUSG00000024795	Kif20b	character(0)
chr19:34307125:34307278:+@chr19:34310012:34310169:+@chr19:34315179:34315316	ENSMUSG00000024778	Fas	character(0)
chr19:34318590:34318651:+@chr19:34318783:34318836:+@chr19:34319310:34319389	ENSMUSG00000024778	Fas	character(0)
chr19:34069414:34069531:+@chr19:34071668:34071866:+@chr19:34073517:34073626	ENSMUSG00000024770	Lipn	character(0)
chr19:34018679:34018791:+@chr19:34019658:34019719:+@chr19:34020223:34020340	ENSMUSG00000024771	Lipk	character(0)
chr19:32641300:32641411:+@chr19:32646329:32646343:+@chr19:32651896:32652101	ENSMUSG00000024899	Papss2	character(0)
chr19:29584175:29584213:+@chr19:29584467:29584577:+@chr19:29585781:29585870	ENSMUSG00000038658	Ric1	character(0)
chr19:29251828:29252118:+@chr19:29252437:29252519:+@chr19:29262183:29262433	ENSMUSG00000024789	Jak2	character(0)
chr19:29006972:29007087:+@chr19:29007573:29007695:+@chr19:29011889:29012053	ENSMUSG00000024780	Cdc37l1	character(0)
chr19:45560635:45560707:+@chr19:45560987:45561084:+@chr19:45564911:45564991	ENSMUSG00000041035	Gm17018	character(0)
chr19:28686615:28686754:+@chr19:28690687:28690758:+@chr19:28694005:28694206	ENSMUSG00000097735	D930032P07Rik	character(0)
chr19:28694005:28694206:+@chr19:28717205:28717279:+@chr19:28719210:28719752	ENSMUSG00000097735	D930032P07Rik	character(0)
chr19:25509680:25509863:+@chr19:25545819:25546102:+@chr19:25559867:25560011	ENSMUSG00000024837	Dmrt1	character(0)
chr19:23708754:23708967:+@chr19:23717813:23718102:+@chr19:23720058:23720198	ENSMUSG00000074925	Ptar1	character(0)
chr19:23061883:23062067:+@chr19:23062774:23062917:+@chr19:23063278:23063991	ENSMUSG00000118155	Gm50136	character(0)
chr19:21778342:21778786:+@chr19:21780171:21780252:+@chr19:21792638:21792980	ENSMUSG00000024754	Cemip2	character(0)
chr19:21275980:21277089:+@chr19:21277655:21277758:+@chr19:21279625:21279750	ENSMUSG00000024750	Zfand5	character(0)
chr19:20553099:20553200:+@chr19:20559764:20559864:+@chr19:20601998:20602077	ENSMUSG00000053279	Aldh1a1	character(0)
chr19:20324889:20324952:+@chr19:20325023:20325072:+@chr19:20419986:20420118	ENSMUSG00000094732	1500015L24Rik	character(0)
chr19:20324885:20324952:+@chr19:20411252:20411315:+@chr19:20419986:20420118	ENSMUSG00000094732	1500015L24Rik	character(0)
chr19:20405311:20405350:+@chr19:20419986:20420118:+@chr19:20421076:20421263	ENSMUSG00000094732	1500015L24Rik	character(0)
chr19:20411252:20411315:+@chr19:20419986:20420118:+@chr19:20421076:20421263	ENSMUSG00000094732	1500015L24Rik	character(0)
chr19:20422630:20422721:+@chr19:20433885:20434130:+@chr19:20436070:20436143	ENSMUSG00000094732	1500015L24Rik	character(0)
chr19:20422630:20422721:+@chr19:20433896:20434130:+@chr19:20436070:20436143	ENSMUSG00000094732	1500015L24Rik	character(0)
chr19:20422630:20422721:+@chr19:20436070:20436143:+@chr19:20436292:20436437	ENSMUSG00000094732	1500015L24Rik	character(0)
chr19:20422630:20422721:+@chr19:20436292:20436437:+@chr19:20444726:20444883	ENSMUSG00000094732	1500015L24Rik	character(0)
chr19:20422630:20422721:+@chr19:20436292:20436513:+@chr19:20444726:20444881	ENSMUSG00000094732	1500015L24Rik	character(0)
chr19:20436292:20436513:+@chr19:20440539:20440729:+@chr19:20444726:20444883	ENSMUSG00000094732	1500015L24Rik	character(0)
chr19:17208231:17208329:+@chr19:17211678:17211713:+@chr19:17212292:17212330	ENSMUSG00000039126	Prune2	character(0)
chr19:12261032:12261204:+@chr19:12262028:12262126:+@chr19:12268213:12270387	ENSMUSG00000060049	Olfr235	character(0)
chr19:12261034:12262126:+@chr19:12262959:12263149:+@chr19:12268213:12270387	ENSMUSG00000060049	Olfr235	character(0)
chr19:12200805:12200937:+@chr19:12202939:12203121:+@chr19:12205380:12205433	ENSMUSG00000094133	Olfr1431	character(0)
chr19:11697055:11697171:+@chr19:11699352:11699530:+@chr19:11700914:11701011	ENSMUSG00000055933	Oosp3	character(0)
chr19:11492050:11492135:+@chr19:11493095:11493228:+@chr19:11502159:11502279	ENSMUSG00000058470	Gm8369	character(0)
chr19:11504799:11504855:+@chr19:11506156:11506288:+@chr19:11508291:11508392	ENSMUSG00000058470	Gm8369	character(0)
chr19:11418993:11419118:+@chr19:11421258:11421359:+@chr19:11426196:11427246	ENSMUSG00000024675	Ms4a4c	character(0)
chr19:10648426:10648508:+@chr19:10650561:10650648:+@chr19:10653050:10653135	ENSMUSG00000043789	Vwce	character(0)
chr19:10577491:10577563:+@chr19:10577734:10578083:+@chr19:10578982:10579074	ENSMUSG00000034445	Cyb561a3	character(0)
chr19:10577172:10578083:+@chr19:10578982:10579074:+@chr19:10580463:10580562	ENSMUSG00000034445	Cyb561a3	character(0)
chr19:10577451:10577563:+@chr19:10578982:10579074:+@chr19:10580463:10580562	ENSMUSG00000034445	Cyb561a3	character(0)
