tran_id	event_type	gene_id	gene_short_name	gene_type	exon.1	exon.2	exon.3	n.cells.g1	n.cells.g2	mean.g1	mean.g2	mean.diff	statistic	p.val	p.val.adj	modality.bimodal.adj.g1	modality.bimodal.adj.g2	n.cells.outliers.g1	n.cells.outliers.g2	outliers
chrX:85740295:85740361:-:-@chrX:85739222:85739239:-:-@chrX:85737314:85737349:-	SE	ENSMUSG00000025059	Gk	character(0)	chrX:85740295:85740361:-	chrX:85739222:85739239:-	chrX:85737314:85737349:-	27	28	36.064299771186185	44.959732620571216	8.895432849385031	NA	0.005046769776774431	0.7868963844202348	Missing	Missing	0	0	FALSE
chr11:80391835:80391992:+:+@chr11:80393084:80393176:+:+@chr11:80394286:80394531:+	SE	ENSMUSG00000017421	Zfp207	character(0)	chr11:80391835:80391992:+	chr11:80393084:80393176:+	chr11:80394286:80394531:+	34	30	29.995983982998286	35.823705680707626	5.827721697709337	NA	0.005810181808593756	0.7868963844202348	Missing	Missing	0	0	FALSE
chr17:48400438:48400580:-:-@chr17:48398982:48399068:-:-@chr17:48395650:48395796:-	SE	ENSMUSG00000023994	Nfya	character(0)	chr17:48400438:48400580:-	chr17:48398982:48399068:-	chr17:48395650:48395796:-	17	25	38.24761554043823	46.971423531023284	8.723807990585053	NA	0.009641508718997688	0.7868963844202348	Missing	Missing	0	0	FALSE
chr6:135015195:135015383:+:+@chr6:135015576:135015647:+:+@chr6:135015822:135015940:+	SE	ENSMUSG00000030204	Ddx47	character(0)	chr6:135015195:135015383:+	chr6:135015576:135015647:+	chr6:135015822:135015940:+	29	29	28.985334440502577	37.54110653992526	8.555772099422686	NA	0.010257366144541742	0.7868963844202348	Missing	Missing	0	0	FALSE
chr14:47724878:47724970:+:+@chr14:47725929:47726000:+:+@chr14:47726226:47726309:+	SE	ENSMUSG00000021843	Ktn1	character(0)	chr14:47724878:47724970:+	chr14:47725929:47726000:+	chr14:47726226:47726309:+	26	27	69.94440512588685	63.463154017177104	-6.48125110870974	NA	0.01180992598461458	0.7868963844202348	Missing	Missing	0	0	FALSE
chr17:48400438:48400580:-:-@chr17:48398982:48399065:-:-@chr17:48395650:48395796:-	SE	ENSMUSG00000023994	Nfya	character(0)	chr17:48400438:48400580:-	chr17:48398982:48399065:-	chr17:48395650:48395796:-	16	24	38.5913373064028	46.33503804342835	7.7437007370255495	NA	0.012948752869036632	0.7868963844202348	Missing	Missing	0	0	FALSE
chr4:136521341:136521443:+:+@chr4:136539125:136539216:+:+@chr4:136540356:136543518:+	SE	ENSMUSG00000001089	Luzp1	character(0)	chr4:136521341:136521443:+	chr4:136539125:136539216:+	chr4:136540356:136543518:+	14	18	36.337001845073885	47.186131115642354	10.849129270568469	NA	0.015013607984408662	0.7868963844202348	Missing	Missing	0	0	FALSE
chr16:36978749:36978778:-:-@chr16:36968827:36970743:-:-@chr16:36963460:36966285:-	SE	ENSMUSG00000047746	Fbxo40	character(0)	chr16:36978749:36978778:-	chr16:36968827:36970743:-	chr16:36963460:36966285:-	14	10	31.31256554723572	39.95183921626671	8.639273669030988	NA	0.015033231377645758	0.7868963844202348	Missing	Missing	0	0	FALSE
chr12:76961990:76962025:-:-@chr12:76961263:76961289:-:-@chr12:76953169:76953276:-	SE	ENSMUSG00000059436	Max	character(0)	chr12:76961990:76962025:-	chr12:76961263:76961289:-	chr12:76953169:76953276:-	17	12	6.37147947250249	12.881251675117475	6.509772202614984	NA	0.0176712215907329	0.7868963844202348	Missing	Missing	0	0	FALSE
chrX:105928959:105929350:-:-@chrX:105911470:105911654:-:-@chrX:105899881:105899993:-	SE	ENSMUSG00000031229	Atrx	character(0)	chrX:105928959:105929350:-	chrX:105911470:105911654:-	chrX:105899881:105899993:-	17	22	43.64906847878585	51.03087628691085	7.381807808125007	NA	0.028110732541561035	0.7868963844202348	Missing	Missing	0	0	FALSE
chr1:58421083:58421308:-:-@chr1:58420121:58420211:-:-@chr1:58419667:58419733:-	SE	ENSMUSG00000026034	Clk1	character(0)	chr1:58421083:58421308:-	chr1:58420121:58420211:-	chr1:58419667:58419733:-	36	30	72.20477912699894	77.3492466999683	5.144467572969358	NA	0.031506726568087555	0.7868963844202348	Missing	Missing	0	0	FALSE
chr17:24699544:24699657:+:+@chr17:24699898:24700015:+:+@chr17:24700121:24700313:+	SE	ENSMUSG00000019320	Noxo1	character(0)	chr17:24699544:24699657:+	chr17:24699898:24700015:+	chr17:24700121:24700313:+	14	16	22.801272851462333	15.039042339540835	-7.762230511921498	NA	0.032149069610462905	0.7868963844202348	Missing	Missing	0	0	FALSE
chr6:30089895:30090146:+:+@chr6:30090269:30090304:+:+@chr6:30095340:30095346:+	SE	ENSMUSG00000058440	Nrf1	character(0)	chr6:30089895:30090146:+	chr6:30090269:30090304:+	chr6:30095340:30095346:+	19	24	19.647860955217197	25.16131294195951	5.51345198674231	NA	0.03743904655883623	0.7868963844202348	Missing	Missing	0	0	FALSE
chr4:123295202:123295321:+:+@chr4:123295750:123295836:+:+@chr4:123295930:123296057:+	SE	ENSMUSG00000011257	Pabpc4	character(0)	chr4:123295202:123295321:+	chr4:123295750:123295836:+	chr4:123295930:123296057:+	10	16	70.00322879821353	61.97811081412827	-8.02511798408525	NA	0.03976482553125464	0.7868963844202348	Missing	Missing	0	0	FALSE
chr17:48400438:48400580:-:-@chr17:48398985:48399065:-:-@chr17:48395650:48395796:-	SE	ENSMUSG00000023994	Nfya	character(0)	chr17:48400438:48400580:-	chr17:48398985:48399065:-	chr17:48395650:48395796:-	13	17	29.985352525531926	35.859903011385214	5.874550485853286	NA	0.040203797086906065	0.7868963844202348	Missing	Missing	0	0	FALSE
