tran_id	event_type	gene_id	gene_short_name	gene_type	exon.1	exon.2	exon.3	n.cells.g1	n.cells.g2	mean.g1	mean.g2	mean.diff	statistic	p.val	p.val.adj	modality.bimodal.adj.g1	modality.bimodal.adj.g2	n.cells.outliers.g1	n.cells.outliers.g2	outliers
chr14:70118604:70118652:+:+@chr14:70123841:70123881:+:+@chr14:70124183:70124244:+	SE	ENSMUSG00000022089	Bin3	character(0)	chr14:70118604:70118652:+	chr14:70123841:70123881:+	chr14:70124183:70124244:+	24	23	100	97.41711585614024	-2.582884143859754	NA	0.0041197788227022615	0.7868963844202348	Missing	Missing	0	0	FALSE
chrX:85740295:85740361:-:-@chrX:85739222:85739239:-:-@chrX:85737314:85737349:-	SE	ENSMUSG00000025059	Gk	character(0)	chrX:85740295:85740361:-	chrX:85739222:85739239:-	chrX:85737314:85737349:-	27	28	36.064299771186185	44.959732620571216	8.895432849385031	NA	0.005046769776774431	0.7868963844202348	Missing	Missing	0	0	FALSE
chr11:80391835:80391992:+:+@chr11:80393084:80393176:+:+@chr11:80394286:80394531:+	SE	ENSMUSG00000017421	Zfp207	character(0)	chr11:80391835:80391992:+	chr11:80393084:80393176:+	chr11:80394286:80394531:+	34	30	29.995983982998286	35.823705680707626	5.827721697709337	NA	0.005810181808593756	0.7868963844202348	Missing	Missing	0	0	FALSE
chr7:45126991:45127087:-:-@chr7:45126709:45126794:-:-@chr7:45126478:45126537:-	SE	ENSMUSG00000074129	Rpl13a	character(0)	chr7:45126991:45127087:-	chr7:45126709:45126794:-	chr7:45126478:45126537:-	13	22	98.53388908545908	100	1.466110914540919	NA	0.00719650962018675	0.7868963844202348	Missing	Missing	0	0	FALSE
chr5:100518309:100518550:+:+@chr5:100527974:100528053:+:+@chr5:100528539:100528690:+	SE	ENSMUSG00000035297	Cops4	character(0)	chr5:100518309:100518550:+	chr5:100527974:100528053:+	chr5:100528539:100528690:+	35	30	97.64552053726355	99.18457165719414	1.53905111993059	NA	0.007500857875848597	0.7868963844202348	Missing	Missing	0	0	FALSE
chr14:123169633:123169765:+:+@chr14:123172042:123172200:+:+@chr14:123174527:123174665:+	SE	ENSMUSG00000115016	AA536875	character(0)	chr14:123169633:123169765:+	chr14:123172042:123172200:+	chr14:123174527:123174665:+	35	30	81.69899409969051	86.58214371985277	4.883149620162264	NA	0.007550915401402456	0.7868963844202348	Missing	Missing	0	0	FALSE
chr19:40327450:40327622:-:-@chr19:40325471:40326937:-:-@chr19:40324747:40324832:-	SE	ENSMUSG00000025006	Sorbs1	character(0)	chr19:40327450:40327622:-	chr19:40325471:40326937:-	chr19:40324747:40324832:-	17	20	1.882859526789439	5.623395738779335	3.7405362119898955	NA	0.007584461507362479	0.7868963844202348	Missing	Missing	0	0	FALSE
chr11:61546150:61546373:-:-@chr11:61544158:61544328:-:-@chr11:61535271:61535383:-	SE	ENSMUSG00000001036	Epn2	character(0)	chr11:61546150:61546373:-	chr11:61544158:61544328:-	chr11:61535271:61535383:-	35	30	47.118649060688455	51.85065204453589	4.732002983847439	NA	0.007857000656895794	0.7868963844202348	Missing	Missing	0	0	FALSE
chr2:60245212:60245260:+:+@chr2:60247488:60247512:+:+@chr2:60247890:60247957:+	SE	ENSMUSG00000026977	Marchf7	character(0)	chr2:60245212:60245260:+	chr2:60247488:60247512:+	chr2:60247890:60247957:+	36	30	8.406505630378932	10.14909151550862	1.742585885129687	NA	0.00911098407828949	0.7868963844202348	Missing	Missing	0	0	FALSE
chr17:48400438:48400580:-:-@chr17:48398982:48399068:-:-@chr17:48395650:48395796:-	SE	ENSMUSG00000023994	Nfya	character(0)	chr17:48400438:48400580:-	chr17:48398982:48399068:-	chr17:48395650:48395796:-	17	25	38.24761554043823	46.971423531023284	8.723807990585053	NA	0.009641508718997688	0.7868963844202348	Missing	Missing	0	0	FALSE
