tran_id	gene_id	gene_short_name	gene_type
chr19:3864648:3864759:+@chr19:3875735:3875788:+@chr19:3882010:3882120:+@chr19:3884472:3884585	ENSMUSG00000024843	Chka	character(0)
chr18:39306702:39306852:+@chr18:39357553:39357663:+@chr18:39357738:39357828:+@chr18:39363117:39363208	ENSMUSG00000036452	Arhgap26	character(0)
chrY:66373978:66374025:+@chrY:66375897:66376027:+@chrY:66377425:66377608:+@chrY:66378124:66378193	ENSMUSG00000101032	Gm29377	character(0)
chr17:71810847:71810982:+@chr17:71824690:71824916:+@chr17:71827692:71827781:+@chr17:71828507:71828650	ENSMUSG00000024059	Clip4	character(0)
chr17:71828507:71828650:+@chr17:71831205:71831339:+@chr17:71834045:71834307:+@chr17:71837694:71837758	ENSMUSG00000024059	Clip4	character(0)
chr17:71120646:71120682:+@chr17:71120794:71120816:+@chr17:71121126:71121148:+@chr17:71122557:71122612	ENSMUSG00000024049	Myom1	character(0)
chr17:69270611:69270664:+@chr17:69273882:69273917:+@chr17:69274101:69274166:+@chr17:69274704:69274895	ENSMUSG00000024044	Epb41l3	character(0)
chr17:69274704:69274895:+@chr17:69281033:69281107:+@chr17:69283885:69284007:+@chr17:69284539:69284916	ENSMUSG00000024044	Epb41l3	character(0)
chr17:35824127:35824202:+@chr17:35824279:35824369:+@chr17:35824566:35824709:+@chr17:35824833:35824952	ENSMUSG00000059714	Flot1	character(0)
chr17:34360922:34361203:+@chr17:34362659:34362679:+@chr17:34363017:34363037:+@chr17:34363192:34363539	ENSMUSG00000024340	Btnl2	character(0)
chr17:34044819:34045010:+@chr17:34045771:34045848:+@chr17:34046440:34046502:+@chr17:34047098:34047277	ENSMUSG00000024330	Col11a2	character(0)
chr17:34044819:34045010:+@chr17:34045771:34045848:+@chr17:34046440:34046502:+@chr17:34049619:34049678	ENSMUSG00000024330	Col11a2	character(0)
chr17:34044819:34045010:+@chr17:34045771:34045848:+@chr17:34047098:34047277:+@chr17:34049619:34049678	ENSMUSG00000024330	Col11a2	character(0)
chr17:34044819:34045010:+@chr17:34046440:34046502:+@chr17:34047098:34047277:+@chr17:34049619:34049678	ENSMUSG00000024330	Col11a2	character(0)
chr17:32052739:32052827:+@chr17:32053857:32053954:+@chr17:32055105:32055124:+@chr17:32055911:32055997	ENSMUSG00000058392	Rrp1b	character(0)
chr17:31386257:31386356:+@chr17:31414101:31414171:+@chr17:31415280:31415357:+@chr17:31420245:31420288	ENSMUSG00000041119	Pde9a	character(0)
chr17:31386257:31386356:+@chr17:31415280:31415357:+@chr17:31420245:31420288:+@chr17:31443838:31443908	ENSMUSG00000041119	Pde9a	character(0)
chr17:31386257:31386356:+@chr17:31415280:31415357:+@chr17:31443166:31443220:+@chr17:31443838:31443908	ENSMUSG00000041119	Pde9a	character(0)
chr17:31414101:31414171:+@chr17:31415280:31415357:+@chr17:31420245:31420288:+@chr17:31443166:31443220	ENSMUSG00000041119	Pde9a	character(0)
chr17:31386257:31386356:+@chr17:31420245:31420288:+@chr17:31443166:31443220:+@chr17:31443838:31443908	ENSMUSG00000041119	Pde9a	character(0)
chr17:31415280:31415357:+@chr17:31420245:31420288:+@chr17:31443166:31443220:+@chr17:31443838:31443908	ENSMUSG00000041119	Pde9a	character(0)
chr17:28962810:28962912:+@chr17:28963251:28963371:+@chr17:28963961:28964158:+@chr17:28964974:28965084	ENSMUSG00000005936	Kctd20	character(0)
chr17:28328811:28328885:+@chr17:28328967:28329047:+@chr17:28329374:28329522:+@chr17:28330525:28330697	ENSMUSG00000037805	Rpl10a	character(0)
chr17:26414829:26414995:+@chr17:26431787:26432332:+@chr17:26438667:26439359:+@chr17:26441078:26441203	ENSMUSG00000034413	Neurl1b	character(0)
chr16:23534580:23534799:+@chr16:23543623:23543871:+@chr16:23554698:23554933:+@chr16:23559772:23560080	ENSMUSG00000109783	Gm45338	character(0)
chr16:17647608:17647652:+@chr16:17648067:17648126:+@chr16:17649995:17650074:+@chr16:17650149:17650205	ENSMUSG00000041617	Ccdc74a	character(0)
chr16:17623905:17623991:+@chr16:17625720:17625862:+@chr16:17625944:17626019:+@chr16:17626430:17626538	ENSMUSG00000005899	Smpd4	character(0)
chr15:102334202:102334361:+@chr15:102336832:102336984:+@chr15:102337101:102337223:+@chr15:102337329:102337510	ENSMUSG00000001285	Myg1	character(0)
chr15:100957461:100957589:+@chr15:100959340:100959431:+@chr15:100959603:100959694:+@chr15:100969021:100969242	ENSMUSG00000023033	Scn8a	character(0)
chr15:99392986:99393040:+@chr15:99393695:99393730:+@chr15:99399657:99399871:+@chr15:99401580:99401663	ENSMUSG00000023010	Tmbim6	character(0)
chr19:26751824:26752041:+@chr19:26759878:26759931:+@chr19:26770938:26771043:+@chr19:26771508:26771609	ENSMUSG00000024921	Smarca2	character(0)
chr15:80952197:80952400:+@chr15:80955620:80955664:+@chr15:80956213:80956292:+@chr15:80960395:80960566	ENSMUSG00000022407	Adsl	character(0)
chr15:39436997:39437922:+@chr15:39452040:39452107:+@chr15:39452224:39452432:+@chr15:39454360:39454479	ENSMUSG00000037386	Rims2	character(0)
chr15:34114024:34114108:+@chr15:34114799:34114975:+@chr15:34116311:34116376:+@chr15:34117880:34118110	ENSMUSG00000022255	Mtdh	character(0)
chr12:111542152:111542310:+@chr12:111542680:111542841:+@chr12:111543100:111543264:+@chr12:111543527:111543661	ENSMUSG00000021282	Eif5	character(0)
chr12:109606214:109606343:+@chr12:109607414:109607496:+@chr12:109617211:109617349:+@chr12:109620313:109620400	ENSMUSG00000097451	Rian	character(0)
chr12:109627048:109627153:+@chr12:109637839:109637926:+@chr12:109640267:109640328:+@chr12:109642565:109642652	ENSMUSG00000097451	Rian	character(0)
chr12:109637839:109637926:+@chr12:109640267:109640328:+@chr12:109642565:109642652:+@chr12:109643414:109643461	ENSMUSG00000097451	Rian	character(0)
chr12:73292160:73292233:+@chr12:73293699:73293799:+@chr12:73310145:73310197:+@chr12:73318977:73319016	ENSMUSG00000044712	Slc38a6	character(0)
chr12:59137698:59137786:+@chr12:59144699:59144770:+@chr12:59146336:59146362:+@chr12:59146847:59146957	ENSMUSG00000021000	Mia2	character(0)
chr12:59172525:59172592:+@chr12:59174106:59174188:+@chr12:59176331:59176459:+@chr12:59179850:59180008	ENSMUSG00000021000	Mia2	character(0)
chr12:8220600:8220755:+@chr12:8227220:8227363:+@chr12:8238443:8238615:+@chr12:8268364:8268598	ENSMUSG00000037669	Ldah	character(0)
chr12:3596649:3596862:+@chr12:3617606:3617691:+@chr12:3632810:3632964:+@chr12:3643917:3644022	ENSMUSG00000071454	Dtnb	character(0)
chr12:3772587:3772746:+@chr12:3773551:3773640:+@chr12:3776059:3776109:+@chr12:3779619:3779654	ENSMUSG00000071454	Dtnb	character(0)
chr12:3772587:3772746:+@chr12:3773551:3773640:+@chr12:3779619:3779654:+@chr12:3781106:3781398	ENSMUSG00000071454	Dtnb	character(0)
chr12:3773551:3773640:+@chr12:3774570:3774610:+@chr12:3776059:3776109:+@chr12:3779619:3779654	ENSMUSG00000071454	Dtnb	character(0)
chr12:3442474:3442556:+@chr12:3445452:3445454:+@chr12:3450251:3450253:+@chr12:3451662:3451770	ENSMUSG00000037486	Asxl2	character(0)
chr13:114820802:114820946:+@chr13:114824567:114824694:+@chr13:114825211:114825234:+@chr13:114826158:114826281	ENSMUSG00000015536	Mocs2	character(0)
chr13:75707711:75707797:+@chr13:75724953:75725000:+@chr13:75746292:75746413:+@chr13:75749925:75750088	ENSMUSG00000001542	Ell2	character(0)
chr6:88905949:88906078:+@chr6:88906538:88906712:+@chr6:88907576:88907826:+@chr6:88907941:88908072	ENSMUSG00000002871	Tpra1	character(0)
